,Organisation,Investors,Location
26434, Stillwater Scientific Instruments ," CEI Ventures, Maine Technology Institute, Maine Venture Fund"," Orono, Maine, United States, North America"
26435, NovoStent Corporation , — ," Mountain View, California, United States, North America"
26436, SentreHEART , — ," Redwood City, California, United States, North America"
26437, Rhythmia Medical , — ," Burlington, Massachusetts, United States, North America"
26438, LifeMed Media , Battery Ventures," Westport, Connecticut, United States, North America"
26439, OncoGenex , — ," Bothell, Washington, United States, North America"
26440, Regado Biosciences , — ," Durham, North Carolina, United States, North America"
26441, Sotera Wireless ," 3i Group, Sanderling Ventures"," San Diego, California, United States, North America"
26442, VisEn Medical , — ," Bedford, Massachusetts, United States, North America"
26443, Brainsgate ," Alice Ventures, Boston Scientific, Elron Electronic Industries, Infinity Equity, MB Venture Partners, Pitango Venture Capital, Shrem, Fudim, Kelner Technologies"," Caesarea, Hefa, Israel, Asia"
26444, Alteer ," MedVenture Associates, Sanderling Ventures"," Irvine, California, United States, North America"
26445, Dolthera GmbH ," AnGes Inc, BioMedPartners, Deutsche Venture Capital, Innovations Kapital"," Martinsried, Bayern, Germany, Europe"
26446, Investicare , — ," Calgary, Alberta, Canada, North America"
26447, Anadys Pharmaceuticals ," Coastview Capital, HBM Partners, Lotus BioScience Ventures, Venrock"," San Diego, California, United States, North America"
26448, Icon Medical Corp. , ATDC," Atlanta, Georgia, United States, North America"
26449, Amira Pharmaceuticals ," Avalon Ventures, Prospect Venture Partners, Versant Ventures"," San Diego, California, United States, North America"
26450, Select Laboratory Partners , — ," Palo Alto, California, United States, North America"
26451, Oxford Immunotec ," Prelude Trust, Quester Capital, The Dow Chemical Company"," Abingdon, Oxfordshire, United Kingdom, Europe"
26452, Intio ," Flagship Pioneering, Sequel Venture Partners"," Broomfield, Colorado, United States, North America"
26453, Mpex Pharmaceuticals ," Aberdare Ventures, Adams Street Partners, Charitable Leadership Foundation, HBM Healthcare Investments AG, SV Health Investors, Western States Investment Group"," San Diego, California, United States, North America"
26454, Genoptix , — ," Carlsbad, California, United States, North America"
26455, MAKO Surgical ," Aperture Venture Partners, Ivy Capital Partners, MDS Capital, Sycamore Ventures, The Exxel Group"," Fort Lauderdale, Florida, United States, North America"
26456, The Speedel Group , — ," Basel, Basel-Stadt, Switzerland, Europe"
26457, IVREA Pharmaceuticals , — ," Quincy, Massachusetts, United States, North America"
26458, iBalance Medical ," Skyline Ventures, Sutter Hill Ventures"," Boulder, Colorado, United States, North America"
26459, Intact Medical ," ABS Ventures, MedVenture Associates, Morgenthaler Ventures, Origin Partners"," Framingham, Massachusetts, United States, North America"
26460, Tengion ," HealthCap, Johnson & Johnson Development Corporation, L Capital Partners, Oak Investment Partners"," Audubon, Pennsylvania, United States, North America"
26461, Innovative Spinal Technologies ," JPMorgan Partners (JPMP), MPM Capital, OrbiMed"," Mansfield, Massachusetts, United States, North America"
26462, Vendormate , Joey Katzen," Atlanta, Georgia, United States, North America"
26463, Taligen Therapeutics ," High Country Venture, University License Equity Holdings"," Cambridge, Massachusetts, United States, North America"
26464," Ablatrics, Inc ", Intersouth Partners," Morrisville, North Carolina, United States, North America"
26465, HealthDataInsights ," Redhills Ventures, Ticonderoga Capital, Upfront Ventures"," Las Vegas, Nevada, United States, North America"
26466, Gamida Cell , Auriga Partners," Jerusalem, Yerushalayim, Israel, Asia"
26467, Protez Pharmaceuticals ," BioAdvance, Birchmere Ventures, L Capital Partners, SR One"," Malvern, Pennsylvania, United States, North America"
26468, mondoBIOTECH , — ," Basel, Basel-Stadt, Switzerland, Europe"
26469, Altea Therapeutics , Aperture Venture Partners," Atlanta, Georgia, United States, North America"
26470, Prematics , — ," Mclean, Virginia, United States, North America"
26471, Eyetel Imaging ," Bain Capital Ventures, Brookside Capital, Radius Ventures"," Columbia, Maryland, United States, North America"
26472, Spinifex Pharmaceuticals ," GBS Ventures, Symbiosis Group, Uniseed Ventures"," Preston, Lancashire, United Kingdom, Europe"
26473, Xanodyne ," Apax Partners, HealthCare Ventures, MPM Capital"," Newport, Kentucky, United States, North America"
26474, SurgRx , New Enterprise Associates," Redwood City, California, United States, North America"
26475, Celtaxsys , Masters Capital Management," Atlanta, Georgia, United States, North America"
26476, Endologix , — ," Irvine, California, United States, North America"
26477, AutoGenomics , — ," Vista, California, United States, North America"
26478, EUSA Pharma ," OrbiMed, ProQuest Investments"," Hemel Hempstead, Hertford, United Kingdom, Europe"
26479, Affymax ," Apax Partners, Bear Stearns Health Innoventures L.P, Bessemer Venture Partners, Diamond Capital Company, JAFCO Asia, Merlin Biomed, MPM Capital, Sprout Group"," Cupertino, California, United States, North America"
26480, Active Implants , — ," Memphis, Tennessee, United States, North America"
26481, BioTrove ," Biofrontier Partners, Catalyst Health Ventures, CB Health Ventures, Zero Stage Capital"," Woburn, Massachusetts, United States, North America"
26482, BrainCells ," A. M. Pappas & Associates, Bay City Capital, NeuroVentures, Oxford Bioscience Partners"," San Diego, California, United States, North America"
26483, Vitae Pharmaceuticals ," Atlas Venture, New Enterprise Associates, Prospect Venture Partners, Venrock, Wellcome Trust"," Fort Washington, Pennsylvania, United States, North America"
26484, Integrated Diagnostics ," Alexandria Real Estate Equities, Amgen Ventures, ARCH Venture Partners, MPM Capital, OVP Venture Partners, Versant Ventures"," Seattle, Washington, United States, North America"
26485, Immune Control ," Anthem Capital Management, BioAdvance, Domain Associates, NewSpring"," Conshohocken, Pennsylvania, United States, North America"
26486, TearScience , Spray Venture Partners," Morrisville, North Carolina, United States, North America"
26487, CoreValve ," Apax Partners, HealthCap"," Irvine, California, United States, North America"
26488, OxThera ," HealthCap, SLS Venture"," Stockholm, Stockholms Lan, Sweden, Europe"
26489, Panacea Pharmaceuticals , Mitsubishi International Corporation (MIC)," Gaithersburg, Maryland, United States, North America"
26490, VertiFlex ," Aberdare Ventures, Morgenthaler Ventures"," Carlsbad, California, United States, North America"
26491, Nokad , Karista," Évry, Ile-de-France, France, Europe"
26492, Oxonica ," Foresight Group, Income & Growth VCT, Oxford Capital Partners, Quester"," Haddenham, Cambridgeshire, United Kingdom, Europe"
26493, Crux Biomedical , — ," Menlo Park, California, United States, North America"
26494, nContact Surgical , — ," Morrisville, North Carolina, United States, North America"
26495, Telemedicine Clinic , Active Venture Partners," Barcelona, Catalonia, Spain, Europe"
26496, Sundia MediTech , IDG Capital," Shanghai, Shanghai, China, Asia"
26497, WuXi AppTec , Eight Roads Ventures," Shanghai, Shanghai, China, Asia"
26498, Alder Biopharmaceuticals ," Sevin Rosen Funds, Ventures West, Washington Research Foundation"," Bothell, Washington, United States, North America"
26499, Torax Medical ," Mayo Clinic Ventures, Sanderling Ventures, Thomas, McNerney & Partners"," Saint Paul, Minnesota, United States, North America"
26500, Genius Biotherapeutics , Sekunjalo Group," Tokai, NA - South Africa, South Africa, Africa"
26501, Exagen ," EPIC Ventures, Tullis Health Investors, vSpring Capital"," Vista, California, United States, North America"
26502, Skylight Healthcare Systems , — ," San Diego, California, United States, North America"
26503, Satiety , — ," Palo Alto, California, United States, North America"
26504, Globus Medical , — ," Audubon, Pennsylvania, United States, North America"
26505, Cardiva Medical ," Harbinger Ventures, Stockton & Partners, Sycamore Ventures, WI Harper Group"," Sunnyvale, California, United States, North America"
26506, Nutrinia , New Generation Technologies," Ramat Gan, Tel Aviv, Israel, Asia"
26507, TriMed Research ," Inventages Venture Capital Investment Inc., Seroba Life Sciences"," Omaha, Nebraska, United States, North America"
26508, AdipoGenix , — ," Boston, Massachusetts, United States, North America"
26509, Merrimack Pharmaceuticals ," Hercules Capital, Inc."," Cambridge, Massachusetts, United States, North America"
26510, iCeutica , Phoenix IP Ventures," Philadelphia, Pennsylvania, United States, North America"
26511, AmpliMed Corporation ," Biotech Insight Ventures, Solstice Capital, Valley Ventures"," Tucson, Arizona, United States, North America"
26512, FireStar Software , — ," New York, New York, United States, North America"
26513, Textronics ," NGEN Partners, SAS Investors"," Wilmington, Delaware, United States, North America"
26514, Arcadia Biosciences , — ," Davis, California, United States, North America"
26515, PneumRx , KBL Healthcare Ventures," Mountain View, California, United States, North America"
26516, Webify ," Bear Stearns Asset Management, Constellation Technology Ventures, Dali Hook Partners, Global Asset Capital, Keynote Ventures, Trident Capital, Viventures"," Austin, Texas, United States, North America"
26517, Cierra ," Delphi Ventures, Frazier Healthcare Partners, Morgenthaler Ventures, Split Rock Partners"," Redwood City, California, United States, North America"
26518, Metropolitan Health Group , Kagiso Tiso Holdings," Cape Town, NA - South Africa, South Africa, Africa"
26519, DFine , — ," San Jose, California, United States, North America"
26520, BioProcessors , — ," Berkeley, California, United States, North America"
26521, Verus Pharmaceuticals ," Athenian Venture Partners, Domain Associates, Greenspring Associates, Montreux Equity Partners, MPM Capital, Paul Capital, Prospect Venture Partners, Windamere Venture Partners"," San Diego, California, United States, North America"
26522, Mitralign ," Accelerated Technologies Partners, Giza Venture Capital, Oxford Bioscience Partners"," Tewksbury, Massachusetts, United States, North America"
26523, CritiSense , Pontifax," Givat Haim, HaMerkaz, Israel, Asia"
26524, Somaxon Pharmaceuticals ," BA Venture Partners, CDIB BioScience Ventures, Domain Associates, Montreux Equity Partners, MPM Capital"," Solana Beach, California, United States, North America"
26525, Digital-Healthcare ," Albany Ventures Fund III, Elaia, YFM Equity Partners"," Leeds, Leeds, United Kingdom, Europe"
26526, Endotis , Sofinnova Partners," Romainville, Ile-de-France, France, Europe"
26527, RegeneMed , Tech Coast Angels," San Diego, California, United States, North America"
26528, TheraDoc , — ," Charlotte, North Carolina, United States, North America"
26529, Lifeways , Nomura International," London, England, United Kingdom, Europe"
26530, SuperDimension ," CIBC World Markets, OrbiMed, Pfizer"," Minneapolis, Minnesota, United States, North America"
26531, N Spine , Tech Coast Angels," San Diego, California, United States, North America"
26532, Cellectis ," Andera Partners, BankInvest Biomedical Venture, Idinvest Partners, ODYSSEE VENTURE"," Paris, Ile-de-France, France, Europe"
26533, InnoZen , Tech Coast Angels," Woodland Hills, California, United States, North America"
26534, PolyRemedy , MedVenture Associates," Concord, Massachusetts, United States, North America"
26535, dbMotion ," Allscripts, Gemini Israel Ventures, Pitango Venture Capital, UPMC, Vertex Ventures, Vertex Ventures Israel"," Hod Hasharon, HaMerkaz, Israel, Asia"
26536, Cardima , Agility Capital," Fremont, California, United States, North America"
26537, Aircuity ," FreshTracks Capital, LRVHealth, Navigator Technology Ventures, PJC, Venture Capital Fund of New England"," Newton, Massachusetts, United States, North America"
26538, Cylene Pharmaceuticals ," Bioventures Investors, Coastview Capital, Mitsui Global Investment, TDL Investors, Viterbi Group, William Harris Investors"," San Diego, California, United States, North America"
26539, OptiMedica , Kleiner Perkins," Santa Clara, California, United States, North America"
26540, Scancell ," Hygea VCT, Oxford Capital Partners, Oxford Technology Management"," Nottingham, Nottingham, United Kingdom, Europe"
26541, Sierra Oncology , Apjohn ventures," Vancouver, British Columbia, Canada, North America"
26542, Endius ," Dauphin Capital Partners, EGS Healthcare Capital Partners, Hillman Medical Ventures, Morgan Stanley Expansion Capital, The Carlyle Group, Trellis Health Ventures"," Plainville, Massachusetts, United States, North America"
26543, Kareo , — ," Irvine, California, United States, North America"
26544, BioAxone Therapeutic ," Desjardins Venture Capital, Fonds de solidarité FTQ, Lothian Partners, T2C2 Capital"," Saint-laurent, Manitoba, Canada, North America"
26545, Medical Simulation , — ," Denver, Colorado, United States, North America"
26546, Imprivata ," General Catalyst, Highland Capital Partners, Polaris Partners"," Lexington, Massachusetts, United States, North America"
26547, Ideagen ," Active Capital Trust, F&C Asset Management, St Helen's Private Equity"," Ruddington, Nottinghamshire, United Kingdom, Europe"
26548, BioMimetic Therapeutics ," Axiom Ventures, Burrill & Company, CMEA Ventures, Holden Capital, InterWest Partners, MB Venture Partners, Mitsubishi International Corporation (MIC), Noro-Moseley Partners, Novo Holdings, PTV Healthcare Capital"," Franklin, Tennessee, United States, North America"
26549, Rafael Pharmaceuticals , — ," Cranbury, New Jersey, United States, North America"
26550, Celator Pharmaceuticals ," Domain Associates, Quaker BioVentures, TL Ventures, Ventures West"," Princeton, New Jersey, United States, North America"
26551, BioPheresis ," firstVentury Equity, SLS Venture"," Heidelberg, Baden-Wurttemberg, Germany, Europe"
26552, Pharmaca , Great Spirit Ventures," Boulder, Colorado, United States, North America"
26553, Ambit Biosciences ," Avalon Ventures, Canadian Medical Discoveries Fund, Forward Ventures, GeneChem, Gimv, Perseus-Soros Biopharmaceutical Fund, Roche Venture Fund"," San Diego, California, United States, North America"
26554, Mevion Medical Systems , — ," Littleton, Massachusetts, United States, North America"
26555, Zeno Corporation , — ," Houston, Texas, United States, North America"
26556, Xencor , Zen Investments," Monrovia, California, United States, North America"
26557, Anacor Pharmaceutical ," Aberdare Ventures, Care Capital, Red Abbey Venture Partners, Rho Capital Partners, Venrock"," Palo Alto, California, United States, North America"
26558, MedVantx Inc. ," ARCH Venture Partners, InvestCare Partners, Oakwood Medical Investors"," San Diego, California, United States, North America"
26559, Vantage Oncology ," Conning Capital Partners, New Enterprise Associates, Salix Ventures, Versant Ventures"," Manhattan Beach, California, United States, North America"
26560, AVEO Oncology ," Applied Genomic Technology Capital Funds, Highland Capital Partners, MPM Bio IV NVS Strategic Fund, Prospect Venture Partners, Venrock"," Cambridge, Massachusetts, United States, North America"
26561, EyeIC , BioAdvance," Conshohocken, Pennsylvania, United States, North America"
26562, Mazor Robotics ," Alice Ventures, DOR Ventures, Israel Healthcare Ventures, Johnson & Johnson Development Corporation, ProSeed Venture Capital Fund"," Caesarea, Hefa, Israel, Asia"
26563, NexusPharma , BioAdvance," Philadelphia, Pennsylvania, United States, North America"
26564, Adamas Pharmaceuticals , Mohr Davidow Ventures," Emeryville, California, United States, North America"
26565, InstaMed ," Ben Franklin Technology Partners, Josh Kopelman"," Philadelphia, Pennsylvania, United States, North America"
26566, Saset Healthcare , — ," San Francisco, California, United States, North America"
26567, Amura , Avlar BioVentures," Babraham, Cambridgeshire, United Kingdom, Europe"
26568, Receptor Biologix ," Domain Associates, Essex Woodlands Healthcare Partners, MedImmune Ventures, Northwest Technology Ventures, Skyline Ventures, Takeda Ventures"," Palo Alto, California, United States, North America"
26569, InfraReDx , Sanderling Ventures," Burlington, Massachusetts, United States, North America"
26570, Phenomix ," Alta Partners, Bay City Capital, CMEA Ventures, Delphi Ventures, J.P. Morgan Securities Inc., Sofinnova Investments"," San Diego, California, United States, North America"
26571," Resolution Health, Inc ", Trident Capital," Columbia, Maryland, United States, North America"
26572, TargetRx ," Acacia Venture Partners, Domain Associates, Montagu Private Equity, New Enterprise Associates, Quaker BioVentures"," Horsham, Pennsylvania, United States, North America"
26573, Actimis Pharmaceuticals ," Mitsui Global Investment, Sanderling Ventures"," San Diego, California, United States, North America"
26574, Crystal IS , NYSERDA," Troy, New York, United States, North America"
26575, Avantis Medical Systems , BioStar Ventures," Sunnyvale, California, United States, North America"
26576, Enli Health Intelligence Corp. ," Shelter Capital Partners, SmartForest Ventures, Voyager Capital"," Beaverton, Oregon, United States, North America"
26577, Intarcia Therapeutics ," Horizon Technology Finance, Silicon Valley Bank"," Hayward, California, United States, North America"
26578, 3F Therapeutics ," Boston Scientific, Domain Associates"," Lake Forest, California, United States, North America"
26579, Prospex Medical ," Michael Berman, New Enterprise Associates, Polaris Partners"," Saint Paul, Minnesota, United States, North America"
26580, MAKO Surgical , Sycamore Ventures," Fort Lauderdale, Florida, United States, North America"
26581, Kareo , Minor Ventures," Irvine, California, United States, North America"
26582, NovaCardia ," Domain Associates, Forward Ventures, Montreux Equity Partners, Versant Ventures"," San Diego, California, United States, North America"
26583, Allux Medical ," Prospect Venture Partners, Three Arch Partners, Venrock"," Menlo Park, California, United States, North America"
26584, Cogenics , Xmark Asset Management," Morrisville, North Carolina, United States, North America"
26585, Merrimack Pharmaceuticals ," Sorenson Development, Unilever Ventures, WT Investment Advisors Fund"," Cambridge, Massachusetts, United States, North America"
26586, Sanarus Medical ," Alta Partners, Channel Medical Partners, Federated Investors, Forward Ventures, Pequot Capital, Technology Funding, U.S. Venture Partners (USVP)"," Pleasanton, California, United States, North America"
26587, InterCure ," Medica Venture Partners, Nippon Venture Capital"," Ra'anana, HaMerkaz, Israel, Asia"
26588, GluMetrics , — ," Irvine, California, United States, North America"
26589, Diagnostic Ultrasound ," DW Healthcare Partners, Rho Ventures"," Bothell, Washington, United States, North America"
26590, EiRx Therapeutics , Aurora Private Equity," Cork, Cork, Ireland, Europe"
26591, CorNova ," CardioTech, Implant Sciences"," Burlington, Massachusetts, United States, North America"
26592, Mirabel Medical Systems , Stockton & Partners," Austin, Texas, United States, North America"
26593, Mitra Medical Technology ," Industrifonden, Inter Ikea"," Lund, Skane Lan, Sweden, Europe"
26594, SecuriCan General Insurance Company , VenGrowth Asset Management," Winnipeg, Manitoba, Canada, North America"
26595, Nanobiotix , Karista," Paris, Ile-de-France, France, Europe"
26596, Orexigen Therapeutics ," Domain Associates, Duke University, Greenspring Associates, Kleiner Perkins, Montreux Equity Partners, Morgenthaler Ventures, Scale Venture Partners"," La Jolla, California, United States, North America"
26597, Biosystems International , Societe Generale Asset Management," Debrecen, Debrecen, Hungary, Europe"
26598, Confluent Surgical ," Ascension Ventures, Cross Atlantic Partners, Essex Woodlands Healthcare Partners, HLM Venture Partners, SV Health Investors, Three Arch Partners"," Waltham, Massachusetts, United States, North America"
26599, SMS Japan ," AG Capital, JAFCO Japan, Japan Asia Investment, Mizuho Capital, Resona Capital"," Tokyo, Tokyo, Japan, Asia"
26600, Agennix , — ," Martinsried, Bayern, Germany, Europe"
26601, iScience Surgical ," Asset Management Partners, DeNovo Ventures, Pacific Horizon Ventures, Prism Venture Management, Three Arch Partners"," Menlo Park, California, United States, North America"
26602, Marillion Pharmaceuticals , BioAdvance," Exton, Pennsylvania, United States, North America"
26603, Omrix Biopharmaceuticals ," Hercules Capital, Inc."," Qiryat Ono, Tel Aviv, Israel, Asia"
26604, Tolerx ," Bear Stearns Health Innoventures L.P, Duke University, Genentech, HealthCare Ventures, NIF Ventures, Rho Ventures, Skyline Ventures, Sprout Group, Vertex Management, Yasuda Enterprise Development"," Cambridge, Massachusetts, United States, North America"
26605, Evolva ," APIDC Venture Capital, Dansk Innovation, Novartis Venture Fund, Yamanouchi Venture Capital"," Reinach, Aargau, Switzerland, Europe"
26606, Ambrx ," 5AM Ventures, Maverick Ventures, Tavistock Life Sciences, Versant Ventures"," La Jolla, California, United States, North America"
26607, Sequoia Pharmaceuticals ," Aberdare Ventures, HealthCare Ventures, Sofinnova Partners, Wellcome Trust"," Gaithersburg, Maryland, United States, North America"
26608, Neuronetics ," Accuitive Medical Ventures, InterWest Partners, Investor Growth Capital Limited, ONSET Ventures, Three Arch Partners"," Malvern, Pennsylvania, United States, North America"
26609, Halt Medical , — ," Brentwood, California, United States, North America"
26610, SpinalMotion ," Thomas Weisel Venture Partners, Three Arch Partners"," Mountain View, California, United States, North America"
26611, Elixir Medical , Invus," Sunnyvale, California, United States, North America"
26612, TorreyPines Therapeutics ," Advent International, Alta Partners, Gimv, Johnson & Johnson Development Corporation, NIF Ventures, Novartis Venture Fund, Sorrento Ventures"," La Jolla, California, United States, North America"
26613, GenVault , Domain Associates," Carlsbad, California, United States, North America"
26614, InfraScan , BioAdvance," Philadelphia, Pennsylvania, United States, North America"
26615, Humanigen ," 5AM Ventures, Alloy Ventures, GBS Ventures, Lotus BioScience Ventures, MPM Capital, Singapore Bio-Innovations, Sofinnova Investments"," Burlingame, California, United States, North America"
26616, Coley Pharmaceutical Group , Pfizer Venture Investments," Wellesley, Massachusetts, United States, North America"
26617, Fox Chase Cancer Center , BioAdvance," Philadelphia, Pennsylvania, United States, North America"
26618, Sierra Oncology ," Apjohn ventures, Orchard Venture Partners"," Vancouver, British Columbia, Canada, North America"
26619, Novalar Pharmaceuticals ," Boston Millennia Partners, Domain Associates, Montreux Equity Partners, SR One"," San Diego, California, United States, North America"
26620, Vasculab , BioAdvance," Doylestown, Pennsylvania, United States, North America"
26621, TechniScan , — ," Salt Lake City, Utah, United States, North America"
26622, Sirtris Pharmaceuticals ," Black River Asset Management, Cardinal Partners, Cargill Ventures, Polaris Partners, Skyline Ventures, Three Arch Partners, TVM Capital, Wellcome Trust"," Cambridge, Massachusetts, United States, North America"
26623, Nanomix ," 180 Degree Capital, Alta Partners, Apax Partners, EnerTech Capital, Sevin Rosen Funds, Star Ventures"," Emeryville, California, United States, North America"
26624, Cadent ," Apax Partners, JPMorgan Partners (JPMP), Pitango Venture Capital, Star Ventures, SV Health Investors"," Carlstadt, New Jersey, United States, North America"
26625, Applied Spine Technologies , — ," Wellesley, Massachusetts, United States, North America"
26626, Novalar Pharmaceuticals , Reference Capital (formerly Genevest)," San Diego, California, United States, North America"
26627, Signature Diagnostics GmbH , — ," Potsdam, Brandenburg, Germany, Europe"
26628, XTENT ," Advanced Technology Ventures, Latterell Venture Partners, Morgenthaler Ventures, Split Rock Partners"," Menlo Park, California, United States, North America"
26629, Medsonix , Da Vinci Capital," Las Vegas, Nevada, United States, North America"
26630, HealthCare Partners , Summit Partners," Torrance, California, United States, North America"
26631," ArgiNOx Phamaceuticals,Inc. "," Perseus-Soros Biopharmaceutical Fund, Topspin Partners"," Redwood City, California, United States, North America"
26632, Refocus Group , — ," Dallas, Texas, United States, North America"
26633, Optimer Pharmaceuticals , Par Pharmaceuticals," San Diego, California, United States, North America"
26634, Mentis Cura , Technology Development Fund," Reykjavík, Gullbringusysla, Iceland, Europe"
26635, Prokaria , Technology Development Fund," Reykjavík, Gullbringusysla, Iceland, Europe"
26636, BG Medicine , — ," Waltham, Massachusetts, United States, North America"
26637, Genis , Technology Development Fund," Siglufjörður, Eyjafjardarsysla, Iceland, Europe"
26638, Oxymap , Technology Development Fund," Reykjavík, Gullbringusysla, Iceland, Europe"
26639, LiPlasome Pharma ," BankInvest Biomedical Venture, Incuba Venture, Vecata"," Vejle, Syddanmark, Denmark, Europe"
26640, Plexxikon , — ," Berkeley, California, United States, North America"
26641, Pathway Medical Technologies ," Giza Venture Capital, Oxford Bioscience Partners"," Kirkland, Washington, United States, North America"
26642, Blue Lagoon , Technology Development Fund," Grindavík, Gullbringusysla, Iceland, Europe"
26643, Raförninn , Technology Development Fund," Reykjavík, Gullbringusysla, Iceland, Europe"
26644, Perlegen Sciences ," Biofrontier Partners, Brookside Capital, BSI SA, Cape Securities, CMEA Capital, CSK Venture Capital, Glynn Capital Management, Maverick Ventures, Mizuho Securities, Private Life Biomed, Sano Ventures, SB Life Science, Unilever Ventures, Zesiger Capital"," Mountain View, California, United States, North America"
26645, Marillion Pharmaceuticals , BioAdvance," Exton, Pennsylvania, United States, North America"
26646, Opsona ," Enterprise Ireland, Inventages Venture Capital Investment Inc., Seroba Life Sciences"," Dublin, Dublin, Ireland, Europe"
26647, RevPoint Healthcare Technologies , — ," Brentwood, Tennessee, United States, North America"
26648, Scandius BioMedical ," Ivy Capital Partners, KBL Healthcare Ventures"," Littleton, Colorado, United States, North America"
26649, AxioMed Spine ," CID Equity Partners, Early Stage Partners, MB Venture Partners, Primus Venture Partners, Reservoir Venture Partners, Thomas, McNerney & Partners"," Malden, Massachusetts, United States, North America"
26650, Cleveland BioLabs , — ," Buffalo, New York, United States, North America"
26651, AgaMatrix , — ," Salem, New Hampshire, United States, North America"
26652, EKOS Corporation ," EGS Healthcare Capital Partners, MedVenture Associates, Morgan Stanley, NGN Capital"," Bothell, Washington, United States, North America"
26653, Medisyn Technologies ," Andcor Companies, MTI, Portage Capital, Sherpa Partners, StarTec Investments"," Minnetonka, Minnesota, United States, North America"
26654, Brand New Brands ," Burrill & Company, Great Spirit Ventures, Prolog Ventures, Unilever Ventures"," Mill Valley, California, United States, North America"
26655, Theranos , Rupert Murdoch," Palo Alto, California, United States, North America"
26656, Arthrosurface , Boston Millennia Partners," Franklin, Massachusetts, United States, North America"
26657, Pionetics ," Epcor Utilities, Inc., Firelake Capital Management, NGEN Partners, Pangaea Ventures"," San Carlos, California, United States, North America"
26658, Medialis , AGORANOV," Fontenay-sous-bois, Ile-de-France, France, Europe"
26659, DemandPoint ," Cordova Ventures, Inverness Graham Investments, UPS Ventures"," Englewood, Colorado, United States, North America"
26660, Five Prime Therapeutics ," Advanced Technology Ventures, Diamond Capital Company, Domain Associates, HealthCap, J.P. Morgan Securities Inc., Kleiner Perkins, Singapore Bio-Innovations, TPG, Versant Ventures, Wellcome Trust"," San Francisco, California, United States, North America"
26661, ACADIA Pharmaceuticals , Oxford Bioscience Partners," San Diego, California, United States, North America"
26662, Molecular Medicine BioServices , Tech Coast Angels," Carlsbad, California, United States, North America"
26663, GenoLogics ," GrowthWorks Capital, OVP Venture Partners, Working Opportunity Fund, Yaletown Partners"," Victoria, British Columbia, Canada, North America"
26664, Argos Therapeutics , — ," Durham, North Carolina, United States, North America"
26665, Marksans Pharma ," SpringHill Management, UTI Ventures"," Mumbai, Maharashtra, India, Asia"
26666, Perseus Proteomics , CMIC," Tokyo, Tokyo, Japan, Asia"
26667, Max HealthStaff , Warburg Pincus, — 
26668, Avalon Healthcare Holdings , IA Capital Group," Tampa, Florida, United States, North America"
26669, Caretek Medical , Oxford Technology Management," Oxford, Oxfordshire, United Kingdom, Europe"
26670, WuXi AppTec ," Commerce Health Capital, NewSpring"," Shanghai, Shanghai, China, Asia"
26671, Zealand Pharma ," Idinvest Partners, Innovation Capital"," Copenhagen, Hovedstaden, Denmark, Europe"
26672, Veran Medical Technologies , — ," St Louis, Missouri, United States, North America"
26673, Smart Holograms , Porton Group," Milton Bryant, Bedfordshire, United Kingdom, Europe"
26674, Health Market Science , Edison Partners," King Of Prussia, Pennsylvania, United States, North America"
26675, Medsphere Systems ," Azure Capital Partners, EPIC Ventures, Thomas Weisel Venture Partners"," Carlsbad, California, United States, North America"
26676, HyperBranch Medical Technology ," H.I.G. Capital, The Aurora Funds"," Durham, North Carolina, United States, North America"
26677, OpGen ," Mason Wells, State of Wisconsin Investment Board, Stonehenge Capital, Wisconsin Alumni Research Foundation"," Gaithersburg, Maryland, United States, North America"
26678, Predix Pharmaceuticals ," Boston Millennia Partners, CMEA Ventures, Forward Ventures, JAFCO Asia, Novel Bioventures, OrbiMed, PA Consulting Group, SR One, Yamanouchi Venture Capital, Yasuda Enterprise Development, Yozma Group"," Boston, Massachusetts, United States, North America"
26679, g-Nostics , Oxford Capital Partners," Didcot, Oxfordshire, United Kingdom, Europe"
26680, Constella Group , Wakefield Group," Durham, North Carolina, United States, North America"
26681, OctoPlus ," Innoven Partners, Life Sciences Partners, SR One"," Leiden, Zuid-Holland, The Netherlands, Europe"
26682, CHF Solutions ," Investor Growth Capital Limited, Kaiser Permanente Ventures, MPM Capital, SV Health Investors"," Brooklyn Park, Minnesota, United States, North America"
26683, Plasso Technology Ltd , — ," Sheffield, Sheffield, United Kingdom, Europe"
26684, Enobia Pharma ," Desjardins Venture Capital, Fonds de solidarité FTQ, Innova-Tech Consulting, T2C2 Capital"," Montreal, Quebec, Canada, North America"
26685, Cannuflow , Keiretsu Forum," Campbell, California, United States, North America"
26686, Advanced BioNutrition ," Arancia International, BASF Venture Capital, Eastbourne Capital Management, Maryland Department of Business and Economic Development, SAM Private Equity, Sherbrooke Capital"," Columbia, Maryland, United States, North America"
26687, Biolipox ," Angel Investment Network, Apax Partners, Auriga Partners, Crédit Lyonnais Private Equity, HealthCap, Sofinnova Partners"," Solna, Stockholms Lan, Sweden, Europe"
26688, Chelsea Therapeutics International , Paramount BioCapital Asset Management," Charlotte, North Carolina, United States, North America"
26689, Wellpartner , Scorpion Capital Partners," Portland, Oregon, United States, North America"
26690, RadarFind , — ," Morrisville, North Carolina, United States, North America"
26691, Reliant Technologies , Three Arch Partners," Mountain View, California, United States, North America"
