,Round
20400, Grant - Ovia Health 
20401, Seed Round - AlphaNation 
20402, Seed Round - Medivantix Technologies 
20403, Grant - ArcticMass 
20404, Private Equity Round - PointClickCare 
20405, Angel Round - MNCHIP 
20406, Series A - Arsanis 
20407, Post-IPO Equity - BrainStorm Cell Therapeutics 
20408, Series C - Medrobotics 
20409, Venture Round - Intuity Medical 
20410, Venture Round - Fritz RUCK Ophthalmologische Systeme 
20411, Series C - CardioFocus 
20412, Venture Round - GlucoVista 
20413, Venture Round - BL Healthcare 
20414, Private Equity Round - HerbalGem 
20415, Venture Round - Digital Assent 
20416, Venture Round - ActionRun 
20417, Venture Round - Bravado Health 
20418, Venture Round - Exagen 
20419, Venture Round - Aircuity 
20420, Series A - Celmatix 
20421, Series A - Xishan 
20422, Venture Round - Tivorsan Pharmaceuticals 
20423, Series D - OrthoHelix Surgical Designs 
20424, Debt Financing - Viveve Medical 
20425, Angel Round - GreenGoose! 
20426, Debt Financing - Fluidnet 
20427, Seed Round - TheraTorr Medical 
20428, Grant - Beactica AB 
20429, Series B - Correx 
20430, Debt Financing - Ecowell 
20431, Series D - WhiteGlove Health 
20432, Series B - Acetylon Pharmaceuticals 
20433, Venture Round - M2G 
20434, Seed Round - Captify Health 
20435, Venture Round - FluGen 
20436, Series A - Bionanoplus 
20437, Venture Round - Neurotec Pharma 
20438, Venture Round - Cappella Medical Devices 
20439, Debt Financing - Pluromed 
20440, Debt Financing - RyMed Technologies 
20441, Venture Round - Cambrooke Therapeutics 
20442, Venture Round - SERMO 
20443, Venture Round - Tarsus Medical 
20444, Venture Round - Health Outcomes Sciences 
20445, Seed Round - Hyperice 
20446, Venture Round - Preventice 
20447, Series B - Vital Access 
20448, Venture Round - Marvao Medical 
20449, Private Equity Round - Diagnostyka 
20450, Venture Round - Diartis Pharmaceuticals 
20451, Series B - Versartis 
20452, Venture Round - Paramit Corporation 
20453, Series A - Activaero 
20454, Debt Financing - Biocept 
20455, Angel Round - Securisyn Medical 
20456, Series A - Ivivi Health Sciences 
20457, Venture Round - Inovise Medical 
20458, Venture Round - Axial Exchange 
20459, Venture Round - Medsphere Systems 
20460, Post-IPO Equity - Echo Therapeutics 
20461, Venture Round - VisionScope Technologies 
20462, Venture Round - Bolder Surgical 
20463, Seed Round - Pizeta Pharma S.p.A. 
20464, Post-IPO Equity - Intellipharmaceutics International 
20465, Seed Round - Holganix 
20466, Series B - CyberHeart 
20467, Series F - Chimerix 
20468, Series D - Sonoma Orthopedics 
20469, Debt Financing - Radient Pharmaceuticals 
20470, Venture Round - eDiets.com 
20471, Venture Round - Device Innovation Group 
20472, Venture Round - Rodo Medical 
20473, Series E - NeoVista 
20474, Series B - ClearFlow 
20475, Venture Round - Aquinox Pharmaceuticals 
20476, Series B - Conatus Pharmaceuticals 
20477, Angel Round - L'AVION 
20478, Series A - Clinical Ink 
20479, Venture Round - Photolitec 
20480, Venture Round - American Kidney Stone Management 
20481, Seed Round - Diffinity Genomics 
20482, Series D - EBR Systems 
20483, Series C - GILUPI 
20484, Venture Round - Promimic 
20485, Angel Round - Panther Healthcare 
20486, Venture Round - Altacor 
20487, Debt Financing - Mirabilis Medical 
20488, Venture Round - CapsoVision 
20489, Series B - ELENZA 
20490, Venture Round - Eagle Pharmaceuticals 
20491, Venture Round - Synereca Pharmaceuticals 
20492, Venture Round - ForSight Labs 
20493, Venture Round - LMN-1 
20494, Venture Round - Annai Systems 
20495, Seed Round - St. Louis Spine Center 
20496, Venture Round - Nano4Imaging 
20497, Series C - Ulthera 
20498, Debt Financing - CalciMedica 
20499, Seed Round - Bliss Health 
20500, Venture Round - Advanced Surgical Concepts 
20501, Venture Round - Neotract 
20502, Seed Round - BIO Wellness 
20503, Angel Round - Zaggora 
20504, Series B - OrganOx 
20505, Venture Round - Sonivate Medical 
20506, Venture Round - ForSight VISION5 
20507, Venture Round - OctoPlus 
20508, Series B - HeartFlow 
20509, Series B - CellNovo 
20510, Venture Round - Nanostim 
20511, Post-IPO Equity - Fibrocell Science 
20512, Debt Financing - Interventional Spine 
20513, Venture Round - Ocutronics 
20514, Venture Round - Smartfish AS 
20515, Venture Round - RTN Stealth Software 
20516, Series D - Ocular Therapeutix 
20517, Venture Round - Sapphire Digital 
20518, Series E - Glaukos 
20519, Series E - Spine Wave 
20520, Seed Round - Massive Health 
20521, Seed Round - Healthpoint Services Global 
20522, Post-IPO Equity - Seattle Genetics 
20523, Series A - Complix 
20524, Post-IPO Debt - Paladin Labs 
20525, Venture Round - VertiFlex 
20526, Series C - Spiracur 
20527, Seed Round - Make My plate 
20528, Venture Round - AMENDIA 
20529, Venture Round - Photometics 
20530, Debt Financing - Vitasol 
20531, Grant - Bitbrain 
20532, Venture Round - NDI Medical 
20533, Series A - Truveris 
20534, Post-IPO Equity - Vision Sciences 
20535, Seed Round - Infina Connect Healthcare Systems 
20536, Seed Round - Xango.com 
20537, Angel Round - Unbooked Ltd 
20538," Venture Round - Mt, Fuji Springs "
20539, Venture Round - ProCure Treatment Centers 
20540, Private Equity Round - Fitnessboutique 
20541, Angel Round - Gamma Basics 
20542, Seed Round - HOMEOSTASIS LABS 
20543, Private Equity Round - MacroGenics 
20544, Grant - CareDx 
20545, Debt Financing - Benvenue Medical 
20546, Series B - Impeto Medical 
20547, Seed Round - Intelligent Fingerprinting 
20548, Debt Financing - ReliantHeart 
20549, Seed Round - Plasmology4 
20550, Venture Round - Renal Ventures Management 
20551, Venture Round - Flex Biomedical 
20552, Corporate Round - ItoKuro 
20553, Post-IPO Equity - Athersys 
20554, Seed Round - Katalyst Surgical 
20555, Series B - OrthoSensor 
20556, Venture Round - SurePoint Medical 
20557, Post-IPO Debt - Cardiovascular Systems 
20558, Private Equity Round - Coty 
20559, Series C - Stromedix 
20560, Debt Financing - Supernus Pharmaceuticals 
20561, Series C - Microvisk Technologies 
20562, Venture Round - Nexstim 
20563, Seed Round - BIO Wellness 
20564, Series C - Bio-Intervention Specialists 
20565, Series C - Promosome 
20566, Series A - CSA Medical 
20567, Series D - RainDance Technologies 
20568, Venture Round - Fixed-Phage Ltd 
20569, Venture Round - Metropolis Dialysis Services 
20570, Series B - Fermentalg 
20571, Series A - Digital Assent 
20572, Seed Round - Twistle 
20573, Venture Round - Minervax 
20574, Venture Round - Max-Wellness 
20575, Grant - 13Therapeutics 
20576, Post-IPO Equity - Bion 
20577, Venture Round - ODIN 
20578, Grant - Bioceros 
20579, Series A - Domain Surgical 
20580, Debt Financing - Optimal Radiology 
20581, Equity Crowdfunding - Proactive Comfort 
20582, Debt Financing - Bioxiness Pharmaceuticals 
20583, Debt Financing - Adhezion Biomedical 
20584, Venture Round - WhiteCloud Analytics 
20585, Venture Round - Fortress Biotech 
20586, Venture Round - Cleankeys 
20587, Venture Round - EyeIC 
20588, Venture Round - Forefront TeleCare 
20589, Seed Round - Avidus Management Group 
20590, Series A - Televero Health 
20591, Venture Round - Novan 
20592, Venture Round - Emerus Hospital Partners 
20593, Post-IPO Equity - Living Cell Technologies 
20594, Seed Round - KeyVive Health 
20595, Grant - APE Systems 
20596, Private Equity Round - Conisus 
20597, Venture Round - Net Orange 
20598, Venture Round - Caterna 
20599, Venture Round - MedAvail 
20600, Venture Round - NDSSI Holdings 
20601, Post-IPO Equity - CTI BioPharma 
20602, Series C - GILUPI 
20603, Venture Round - Glytec 
20604, Venture Round - Dr. TATTOFF 
20605, Series C - BionX™ Medical Technologies 
20606, Venture Round - Castlewood Surgical 
20607, Venture Round - iMedX 
20608, Series C - Ocular Therapeutix 
20609, Venture Round - OneMedNet 
20610, Series E - Celleration 
20611, Debt Financing - ScentAir 
20612, Seed Round - Enforcer eCoaching 
20613, Seed Round - Predictus BioSciences 
20614, Series C - NextWave Pharmaceuticals 
20615, Post-IPO Equity - ACADIA Pharmaceuticals 
20616, Venture Round - PENRITH 
20617, Venture Round - Minimus Spine 
20618, Post-IPO Equity - Pyng Medical 
20619, Venture Round - IPPLEX 
20620, Venture Round - Polyplus-transfection 
20621, Venture Round - EndoChoice 
20622, Seed Round - Spire 
20623, Series A - Assurex Health 
20624, Venture Round - Vocera Communications 
20625, Seed Round - Rothman Healthcare 
20626, Venture Round - Indigo Biosystems 
20627, Venture Round - Hoana Medical 
20628," Series B - Interface Biologics, Inc. "
20629, Post-IPO Equity - Living Cell Technologies 
20630, Debt Financing - WaveTec Vision 
20631, Series E - Melinta 
20632, Series B - Avinger 
20633, Debt Financing - NexGen Medical Systems 
20634, Venture Round - NextCare 
20635, Venture Round - Canbiola 
20636, Equity Crowdfunding - Umthunzi 
20637, Venture Round - Dekkun 
20638, Venture Round - Adapta Medical 
20639, Series E - VisionCare Ophthalmic Technologies 
20640, Series B - lifeIMAGE 
20641, Funding Round - Orteq 
20642, Series C - Cognoptix 
20643, Venture Round - Centice 
20644, Venture Round - INRange Systems 
20645, Venture Round - HELIX BIOMEDIX 
20646, Series A - Aratana Therapeutics 
20647, Pre Seed Round - Cardiac Insight 
20648, Venture Round - Rocky Mountain Biosystems 
20649, Venture Round - CorNova 
20650, Venture Round - CardioInsight Technologies 
20651, Grant - Karyopharm Therapeutics 
20652, Series A - LightDeck Diagnostics 
20653, Series A - PresenceLearning 
20654, Venture Round - Onconova Therapeutics 
20655, Venture Round - Owl biomedical 
20656, Grant - Acceleron Pharma 
20657, Post-IPO Equity - Echo Therapeutics 
20658, Venture Round - Gliknik 
20659, Venture Round - Avedro 
20660, Venture Round - Tissue Genesis 
20661, Series A - AdAlta 
20662, Series B - Satori Pharmaceuticals 
20663, Series A - Thar Pharmaceuticals 
20664, Series C - DBV Technologies 
20665, Venture Round - Help Remedies 
20666, Seed Round - Catapult Health 
20667, Seed Round - Tangent Medical Technologies 
20668, Venture Round - Akermin 
20669, Venture Round - PneumRx 
20670, Series A - Kumu Wellness 
20671, Venture Round - FMS Hauppauge 
20672, Grant - Rock Health 
20673, Series A - Sera Prognostics 
20674, Venture Round - Correctional Healthcare Companies 
20675, Series C - TetraLogic Pharmaceuticals 
20676, Seed Round - DrChrono 
20677, Series A - RICH HEALTHCARE 
20678, Seed Round - Restore Health 
20679, Series D - Accera 
20680, Debt Financing - AlterG 
20681, Seed Round - Glocal Healthcare 
20682, Debt Financing - SpaceOAR 
20683, Angel Round - Nano Precision Medical 
20684, Seed Round - iSeniorSolutions.com 
20685, Post-IPO Debt - Anthera Pharmaceuticals 
20686, Venture Round - Atossa Genetics 
20687, Private Equity Round - MedSpring 
20688, Venture Round - InSpa 
20689, Pre Seed Round - Caristix 
20690, Private Equity Round - Resolute Health Corporation Limited 
20691, Venture Round - Invoice Delivery Services 
20692, Venture Round - Iora Health 
20693, Venture Round - PeraHealth 
20694, Venture Round - Two Degrees Food 
20695, Venture Round - Boston Heart Diagnostics 
20696," Pre Seed Round - Clinitrust Global, Inc. "
20697, Pre Seed Round - Q-Chuck Technologies 
20698, Pre Seed Round - NanoSpeed Diagnostics 
20699, Pre Seed Round - Edge Therapeutics 
20700, Angel Round - Exact Imaging 
20701, Post-IPO Equity - Nektar Therapeutics 
20702, Seed Round - Butterfly Network 
20703, Pre Seed Round - Cliniconex 
20704, Venture Round - DSI Renal 
20705, Venture Round - Vishwa Infrastructures & Services 
20706, Series A - NephroPlus 
20707, Private Equity Round - Fillmed Laboratoires 
20708, Seed Round - Eximo Medical 
20709, Seed Round - CardioGard Medical 
20710, Pre Seed Round - DarioHealth 
20711, Angel Round - NeuVerus Health 
20712, Seed Round - Schemagi AB 
20713, Series A - Berry Genomics 
20714, Seed Round - Swoop 
20715, Series F - POCARED Diagnostics Ltd. 
20716, Angel Round - Health Options Worldwide 
20717, Seed Round - HelpingDoc 
20718, Funding Round - Forte Research Systems 
20719, Seed Round - Enable Injections 
20720, Seed Round - Clinicbook 
20721, Seed Round - Net Medical 
20722, Venture Round - Sworkit 
20723, Series A - Lifesquare 
20724, Seed Round - Rx Network 
20725, Grant - 3CI 
20726, Series D - Alltech Medical Systems 
20727, Series A - Continuum Care 
20728, Venture Round - Medvivo Group 
20729, Non Equity Assistance - Kendall Research system 
20730, Seed Round - Apicea 
20731, Private Equity Round - DDD-Diagnostic 
20732, Funding Round - Stemina Biomarker Discovery 
20733, Series A - Boohee 
20734, Venture Round - Ivenix 
20735, Series A - PegBio 
20736, Private Equity Round - CenterVue SpA 
20737, Series A - The Family Doctor 
20738, Angel Round - Healarium 
20739, Seed Round - Tasqe 
20740, Venture Round - Gaia Herbs 
20741, Seed Round - RadLogics 
20742, Seed Round - EyeYon 
20743, Venture Round - Sphinx Medical 
20744, Venture Round - Eso Technologies 
20745, Seed Round - Balinea 
20746, Seed Round - ENTEROME 
20747, Non Equity Assistance - Ginger 
20748, Angel Round - Neoclone 
20749, Series B - Obalon Therapeutics 
20750, Angel Round - Epigamia 
20751, Funding Round - Quincy Bioscience 
20752, Seed Round - Genotype Diagnostics 
20753, Seed Round - X2 Biosystems 
20754, Venture Round - Nanobacterie 
20755, Grant - Deton 
20756, Convertible Note - Signal Genetics 
20757, Seed Round - Grand Rounds 
20758, Venture Round - Fe3 Medical 
20759, Debt Financing - Aggamin Biologics 
20760, Seed Round - EveryMove 
20761, Series A - Brighter.com 
20762, Seed Round - HelpSaúde 
20763, Venture Round - QuantuMDx Group 
20764, Angel Round - OncoHealth 
20765, Pre Seed Round - Sentrian 
20766, Series A - Vascular Graft Solutions 
20767, Seed Round - SyncThink 
20768, Non Equity Assistance - Ashametrics 
20769," Series A - Salus Novus, Inc. "
20770, Seed Round - Atomo Diagnostics 
20771, Seed Round - getupp 
20772, Seed Round - Save On Medical 
20773, Angel Round - Heartfelt Celebrations 
20774, Angel Round - Syapse 
20775, Series B - NetCom 
20776, Seed Round - Stealth Therapeutics 
20777, Venture Round - Green A 
20778, Venture Round - Digital Diagnostics 
20779, Grant - iThera Medical 
20780, Series A - Innara Health 
20781, Venture Round - Nabriva Therapeutics 
20782, Convertible Note - Lead Horse Technologies 
20783, Series A - TesoRx Pharma 
20784, Series A - Precedent Health 
20785, Venture Round - Biocrates Life Sciences 
20786, Convertible Note - OsteoGeneX 
20787, Convertible Note - VasoGenix 
20788, Series A - Spinal Simplicity 
20789, Seed Round - IGXBio 
20790, Venture Round - Fio 
20791," Grant - Beyond Lucid Technologies, Inc. "
20792, Seed Round - Hussle 
20793, Venture Round - Vivorte 
20794, Seed Round - Nascent Surgical 
20795, Venture Round - Blue Health Intelligence(BHI) 
20796, Venture Round - Aqua Skin Science 
20797, Seed Round - SecuReach Systems 
20798, Venture Round - Comprendo 
20799, Seed Round - Acarix 
20800, Seed Round - Hussle 
20801, Venture Round - Vivorte 
20802, Seed Round - Nascent Surgical 
20803, Venture Round - Blue Health Intelligence(BHI) 
20804, Venture Round - Aqua Skin Science 
20805, Seed Round - SecuReach Systems 
20806, Venture Round - Comprendo 
20807, Seed Round - Acarix 
20808, Venture Round - Dominion Diagnostics 
20809, Seed Round - MedCity News 
20810, Seed Round - Hussle 
20811, Venture Round - MEPS Real-Time 
20812, Venture Round - Ensocare 
20813, Debt Financing - AURSOS 
20814, Venture Round - Paradigm Spine 
20815, Venture Round - Combinent Biomedical Systems 
20816, Venture Round - Phoenix Biotechnology 
20817, Venture Round - ANTERIOS 
20818, Angel Round - Youjiali 
20819, Venture Round - Oraya Therapeutics 
20820, Venture Round - NeuWave Medical 
20821, Debt Financing - Xencor 
20822, Venture Round - Sierra Oncology 
20823, Venture Round - Integrity Applications 
20824, Debt Financing - Endocyte 
20825, Series A - Avinger 
20826, Venture Round - Calmark Sweden AB 
20827, Seed Round - Quire 
20828, Series C - Bonovo Orthopedics 
20829, Venture Round - BridgePoint Medical 
20830, Private Equity Round - BriovaRx 
20831, Venture Round - Semba Biosciences 
20832, Debt Financing - Armune BioScience 
20833, Debt Financing - Sequel Pharmaceuticals 
20834, Debt Financing - Pivot Medical 
20835, Seed Round - Hussle 
20836, Venture Round - Vivorte 
20837, Seed Round - Nascent Surgical 
20838, Venture Round - Blue Health Intelligence(BHI) 
20839, Venture Round - Aqua Skin Science 
20840, Seed Round - SecuReach Systems 
20841, Venture Round - Comprendo 
20842, Seed Round - Acarix 
20843, Venture Round - Dominion Diagnostics 
20844, Seed Round - MedCity News 
20845, Seed Round - Hussle 
20846, Venture Round - MEPS Real-Time 
20847, Venture Round - Ensocare 
20848, Debt Financing - AURSOS 
20849, Venture Round - Paradigm Spine 
20850, Venture Round - Combinent Biomedical Systems 
20851, Venture Round - Phoenix Biotechnology 
20852, Venture Round - ANTERIOS 
20853, Angel Round - Youjiali 
20854, Venture Round - Oraya Therapeutics 
20855, Venture Round - NeuWave Medical 
20856, Debt Financing - Xencor 
20857, Venture Round - Sierra Oncology 
20858, Venture Round - Integrity Applications 
20859, Debt Financing - Endocyte 
20860, Series A - Avinger 
20861, Venture Round - Calmark Sweden AB 
20862, Seed Round - Quire 
20863, Series C - Bonovo Orthopedics 
20864, Venture Round - BridgePoint Medical 
20865, Private Equity Round - BriovaRx 
20866, Venture Round - Semba Biosciences 
20867, Debt Financing - Armune BioScience 
20868, Debt Financing - Sequel Pharmaceuticals 
20869, Debt Financing - Pivot Medical 
20870, Venture Round - ZS Pharma 
20871, Seed Round - Sarasota Medical Products 
20872, Post-IPO Equity - Heilongjiang Weikang Bio-Tech Group 
20873, Non Equity Assistance - SpectraPhase 
20874, Venture Round - Quincy Bioscience 
20875, Venture Round - JMEA 
20876, Seed Round - TSB 
20877, Debt Financing - Phraxis 
20878, Venture Round - Casenet 
20879, Post-IPO Equity - Capricor Therapeutics 
20880," Seed Round - Cibiem, Inc. "
20881, Series F - Small Bone Innovations 
20882, Venture Round - DBV Technologies 
20883, Funding Round - Vendormate 
20884, Series C - SuppreMol 
20885, Debt Financing - Nuclea Biotechnologies 
20886, Funding Round - Personal Medicine 
20887, Venture Round - Torque Medical Holdings 
20888, Venture Round - Terumo 
20889, Angel Round - First Sense Medical 
20890, Venture Round - EDP Biotech 
20891, Venture Round - Smisson-Cartledge Biomedical 
20892, Venture Round - GT Urological 
20893, Grant - Kane Biotech 
20894, Seed Round - Vascular Designs 
20895, Venture Round - Bloxr 
20896, Venture Round - VertiFlex 
20897, Series A - Chase Pharmaceuticals 
20898, Series B - Bloom Health 
20899, Angel Round - HumanCharger 
20900, Private Equity Round - BSR Super Speciality Hospitals 
20901, Venture Round - QuantaLife 
20902, Series A - WebPT 
20903, Venture Round - MedShape 
20904, Venture Round - ZS Pharma 
20905, Series B - QuantaLife 
20906, Venture Round - Pathogenetix 
20907, Series B - Semprus BioSciences 
20908, Venture Round - CytoLogic 
20909, Series C - Lutonix 
20910, Post-IPO Debt - Cardiovascular Systems 
20911, Seed Round - Eruditor Group 
20912, Equity Crowdfunding - 556 Fitness 
20913, Series A - PipelineRx 
20914, Venture Round - eNeura Therapeutics 
20915, Venture Round - ZirMed 
20916, Venture Round - Happy Family 
20917, Venture Round - Tayside Flow Technologies 
20918, Venture Round - Olive Medical Corporation 
20919, Venture Round - Salutaris Medical Devices 
20920, Private Equity Round - Clinical Innovations 
20921, Post-IPO Equity - Maximus 
20922, Debt Financing - Abionic 
20923, Venture Round - Northwest Biotherapeutics 
20924, Convertible Note - Mitomics 
20925, Venture Round - Ortho Kinematics 
20926, Venture Round - TyRx 
20927, Series A - Catabasis Pharmaceuticals 
20928, Grant - Aeon Scientific 
20929, Venture Round - Vertical Health Solutions 
20930, Seed Round - Luzitin 
20931, Seed Round - Animal Cell Therapies 
20932, Funding Round - GoHealth 
20933, Series D - Estech 
20934, Venture Round - Bespoke Innovations 
20935, Private Equity Round - The Gym 
20936, Venture Round - Awarepoint 
20937, Post-IPO Equity - Titan Medical 
20938, Venture Round - Intelligent InSites 
20939, Series A - OnShift 
20940, Venture Round - Lumara Health 
20941, Seed Round - Axio Biosolutions 
20942, Seed Round - Physikron 
20943, Seed Round - Twin Star ECS 
20944, Venture Round - Hugo & Debra Natural 
20945, Venture Round - Good Health Media 
20946, Debt Financing - Leversense 
20947, Post-IPO Debt - Cardiovascular Systems 
20948, Post-IPO Equity - InVivo Therapeutics 
20949, Venture Round - OmniLytics 
20950, Series A - GnuBIO 
20951, Series C - Packetmotion 
20952, Venture Round - VoCare 
20953, Seed Round - Jiff 
20954, Series E - Median Technologies 
20955, Venture Round - Adimab 
20956, Angel Round - Sarissa Biomedical 
20957, Seed Round - Oceen 
20958, Venture Round - PhytoCeutica 
20959, Seed Round - Regenesance 
20960, Seed Round - Rotimatic 
20961, Seed Round - Endomondo 
20962, Seed Round - CarThera 
20963, Seed Round - Thelial Technologies 
20964, Series A - CellScape 
20965, Angel Round - iJoule 
20966, Private Equity Round - Surgical Information Systems 
20967, Series A - Cryo-Innovation 
20968, Venture Round - KFx Medical 
20969, Venture Round - Clinique Développement 
20970, Series B - Castlewood Surgical 
20971, Series A - UrgentRx 
20972," Series B - VSee Lab, Inc "
20973, Debt Financing - AngioSlide 
20974, Series A - Sonendo 
20975, Seed Round - Innovate Wireless Health 
20976, Venture Round - Tolerx 
20977, Venture Round - Exogenesis 
20978, Venture Round - N.FIELD 
20979, Series A - FitnessKeeper 
20980, Angel Round - Materna Medical 
20981, Angel Round - Taikang Bybo Dental 
20982, Venture Round - Aethon 
20983, Venture Round - PreCision Dermatology 
20984, Post-IPO Equity - MiMedx Group 
20985, Post-IPO Equity - Hologic 
20986, Post-IPO Debt - StageZero Life Sciences 
20987, Venture Round - CHF Solutions 
20988, Venture Round - Enli Health Intelligence Corp. 
20989, Grant - BlueWillow Biologics 
20990, Debt Financing - GNS Healthcare 
20991, Series C - SuperSonic Imagine 
20992, Venture Round - Conrig Pharma 
20993, Grant - Sentien Biotechnologies 
20994, Seed Round - Arterius 
20995, Venture Round - Avantis Medical Systems 
20996, Series A - Ortho Kinematics 
20997, Debt Financing - Strategic Health Services 
20998, Venture Round - Strategic Health Services 
20999, Venture Round - HyperBranch Medical Technology 
21000, Venture Round - Mardil Medical 
21001, Post-IPO Equity - Idenix Pharmaceuticals 
21002, Seed Round - Netia Medical Technologies 
21003, Debt Financing - zumatek 
21004, Debt Financing - Ceptaris Therapeutics 
21005, Venture Round - StemCyte 
21006, Seed Round - Magellan Global Health 
21007, Series A - Orega Biotech 
21008, Venture Round - Clinicient 
21009, Venture Round - Access Scientific 
21010, Venture Round - Innovative Healthcare 
21011, Venture Round - CAPNIA 
21012, Debt Financing - Miramar Labs 
21013, Venture Round - NanoDetection Technology 
21014, Venture Round - Vivacta 
21015, Debt Financing - GluMetrics 
21016, Venture Round - ImThera Medical Inc 
21017, Venture Round - iChange 
21018, Seed Round - ClaytonStress.com 
21019, Seed Round - echoBase 
21020, Venture Round - GenerationOne 
21021, Venture Round - Zeno Corporation 
21022, Venture Round - ITC 
21023, Venture Round - Medimetrix Solutions Exchange 
21024, Venture Round - Zonare Medical Systems 
21025, Seed Round - Essential Medical 
21026, Private Equity Round - Swereco 
21027, Venture Round - Minerva Biotechnologies 
21028, Debt Financing - VBI Vaccines 
21029, Series A - SomaLogic 
21030, Series B - OrthAlign 
21031, Debt Financing - VIA Pharmaceuticals 
21032, Series A - Tango Health 
21033, Venture Round - EngagementHealth 
21034, Debt Financing - Nanospectra Biosciences 
21035, Venture Round - RepRegen 
21036, Venture Round - Corinthian Ophthalmic 
21037, Venture Round - BioMarker Strategies 
21038, Series C - Radisphere Radiology 
21039," Venture Round - Orasi Medical, Inc. "
21040, Debt Financing - BridgePoint Medical 
21041, Debt Financing - Ardelyx 
21042, Seed Round - ARC Medical Devices 
21043, Venture Round - Med-Tek 
21044, Venture Round - MedLink 
21045, Seed Round - Health Options Worldwide 
21046, Venture Round - MD Synergy Solutions 
21047, Series A - Cerimon Pharmaceuticals 
21048, Series C - Cerulean Pharma 
21049, Venture Round - Prognosis Health Information Systems 
21050, Debt Financing - Svelte Medical Systems 
21051, Debt Financing - PayRight Health Solutions 
21052, Series A - New Element 
21053, Debt Financing - BeneChill 
21054, Venture Round - Vital Access 
21055, Post-IPO Equity - Ontrak 
21056, Series A - Delenex Therapeutics 
21057, Series A - Guanghetang 
21058, Venture Round - Haemostatix 
21059, Series C - Syntaxin 
21060, Private Equity Round - eviCore healthcare 
21061, Venture Round - Procarta Biosystems 
21062, Series A - Coro Health 
21063, Venture Round - Vivere Health 
21064, Seed Round - NovaTract Surgical 
21065, Series D - nContact Surgical 
21066, Seed Round - PresenceLearning 
21067, Debt Financing - Viacor 
21068, Grant - INOFEA 
21069, Seed Round - CoverMyMeds 
21070, Series A - Shareable Ink 
21071, Venture Round - North Palm Beach County Surgery Center 
21072, Series B - iPierian 
21073, Post-IPO Equity - Apteryx Imaging 
21074, Venture Round - PURE Bioscience 
21075, Venture Round - Artimplant AB 
21076, Series B - Follica 
21077, Seed Round - Advanced Proteome Therapeutics 
21078, Venture Round - HealthcareSource 
21079, Venture Round - Fresenius Medical Care HIMG Dialysis Center 
21080, Grant - Merrimack Pharmaceuticals 
21081, Venture Round - RedHill Biopharma 
21082, Seed Round - Edge Therapeutics 
21083, Venture Round - Hutchison MediPharma 
21084, Grant - Rafael Pharmaceuticals 
21085, Venture Round - UV Memory Care 
21086, Post-IPO Equity - Amicus Therapeutics 
21087, Venture Round - Daktari Diagnostics 
21088, Venture Round - RediLearning 
21089, Series A - Ambra Health 
21090, Grant - Anacor Pharmaceutical 
21091, Venture Round - CellCeuticals Skin Care 
21092, Debt Financing - Sonoma Orthopedics 
21093, Series A - Karyopharm Therapeutics 
21094, Post-IPO Equity - AVEO Oncology 
21095, Private Equity Round - Snapper Hill Clinic 
21096, Pre Seed Round - Abionic 
21097, Post-IPO Equity - Fresenius Medical Care 
21098, Venture Round - Fortress Biotech 
21099, Venture Round - Abattis Bioceuticals 
21100, Private Equity Round - KOS Group 
21101, Venture Round - Rinovum Women's Health 
21102, Post-IPO Debt - AdCare Health Systems 
21103, Debt Financing - Arcion Therapeutics 
21104, Series A - PinpointCare 
21105, Grant - ViThera 
21106, Grant - Hangenix 
21107, Seed Round - Vyome Therapeutics 
21108, Grant - GentleMed 
21109, Grant - NanoLab 
21110, Grant - Imbed Biosciences 
21111, Grant - Axios Biosciences 
21112, Series B - Notal Vision 
21113, Series B - Guokang Health Management 
21114, Venture Round - Cancer Genetics 
21115, Private Equity Round - Maxivision Super Speciality Eye Hospitals 
21116, Venture Round - Trophic Wellness 
21117, Seed Round - Sentimed Medical Corporation 
21118, Seed Round - Sera Prognostics 
21119, Angel Round - qointa 
21120, Grant - Privo Technologies 
21121, Grant - Proximity Health Solutions 
21122, Grant - Stromatec 
21123, Grant - Remcore 
21124, Grant - Edimer Pharmaceuticals 
21125, Private Equity Round - Degania Medical 
21126, Grant - Neuroscouting 
21127, Grant - StaffInsight 
21128, Grant - Mercator MedSystems 
21129, Venture Round - Stat Doctors 
21130, Grant - g2gConnect 
21131, Grant - Cocomama Foods 
21132, Series A - Virtual Incision 
21133, Seed Round - BIOUNIVERSA srl 
21134, Series A - Accriva Diagnostics 
21135, Seed Round - HealthUnlocked 
21136, Seed Round - Concert Genetics 
21137, Grant - Cytogel Pharma 
21138, Seed Round - Fooducate 
21139, Grant - Aukera Therapeutics 
21140, Grant - Diagnostics For All (DFA) 
21141, Debt Financing - nanoMR 
21142, Series D - Biolex Therapeutics 
21143, Venture Round - CenTrak 
21144, Post-IPO Equity - International Isotopes 
21145, Venture Round - Gynesonics 
21146, Funding Round - Regulus Therapeutics 
21147, Series D - Cappella Medical Devices 
21148, Venture Round - b3 bio 
21149, Series C - Intersect ENT 
21150, Venture Round - Solx 
21151, Post-IPO Equity - Oncolytics Biotech 
21152, Debt Financing - Conatus Pharmaceuticals 
21153, Series B - Heppe Medical Chitosan 
21154, Seed Round - Simcoach Games 
21155, Angel Round - Aver 
21156, Series C - Celtaxsys 
21157, Venture Round - Napo Pharmaceuticals 
